city,country_code,created_at,current_supplier,delivery_hours,email,enabled,google_place_id,hubspot_id,id,interlocutor,is_hokodo_setup_done,locale,Zone,updated_at,street2,street_number,street,restaurant_type_id,sale_account,postal_code,password,name,latitude,longitude
ALFORTVILLE,FR,24/04/12 14:43,,,ermine.olivier@orange.fr,True,ChIJeRbCDgJz5kcR8SJu6ryXQL8,11800797002.0,43219,,False,fr_FR,IDF EAST,24/06/24 16:56,,26,Rue Charles de Gaulle,13.0,95.0,94140,,Domino's Pizza Alfortville,48.8144331,2.4148368
Alhambra,US,24/04/23 19:16,,,,True,,13987196456.0,43405,,False,en_US,LA,24/04/23 19:16,,2700,West Main Street,2.0,163.0,91801,,popcupz,34.095129,-118.153284
Amay,BE,24/08/12 10:39,,,,True,,,45709,,False,fr_FR,BE,24/08/12 10:39,,49,Rue Joseph Wauters,,,4540,,Boulangerie Jacques ( be   0799.156.967 ),50.54674,5.3211121
Amiens,FR,24/05/23 16:20,,,,True,,,43941,,False,fr_FR,Province,24/06/24 16:56,,52,Rue Jules Barni,,105.0,80000,,LA TRADITION DE BARNI,49.8888073,2.3110657
Amiens,FR,24/03/27 14:56,,,,True,,18246551.0,43028,,False,fr_FR,Province,24/06/24 16:56,,16,Passage Alphonse Fiquet,,,80000,,Le Pouce,49.890322,2.307035
Amityville,US,24/05/22 23:13,,,,True,,12187451.0,43922,,False,en_US,NY,24/05/28 21:55,"579 Broadway, Amityville, NY 11701",579,Broadway,19.0,98.0,11701,,Bougatfa 1,40.6934108,-73.4226602
Andenne,BE,24/09/02 11:08,,,,True,,6172851.0,46060,,False,fr_FR,BE,24/09/02 11:08,,24,Rue Brun,,,5300,,Dieudonné / Michel ( 0823774082),50.4885046,5.0971384
Anderlecht,BE,24/04/25 18:13,,,,True,,,43462,,False,fr_FR,BE,24/06/24 16:56,,34,Allée de la Recherche,,,1070,,Much More Market Benelux ( be  0502907881 ),50.8172326,4.2697885
Anderlecht,BE,24/05/23 14:01,,,,True,,,43931,,False,fr_FR,BE,24/06/24 16:56,,17,Rue Wayez,,,1070,,Le Zee POISSONNERIE RESTAURANT ( be 0642702697 ),50.8365551,4.3162112
Anderlecht,BE,24/07/19 10:04,,,,True,,,45334,,False,fr_FR,BE,24/07/22 11:01,,124,Rue de Liverpool,,160.0,1070,,Pottal ASBL  ( be  0659977607 ),50.8440273,4.3342258
Anderlecht,BE,24/06/11 15:13,,,,True,,11004101.0,44402,,False,fr_FR,BE,24/06/24 16:56,,5,Rue Léon Delacroix,6.0,145.0,1070,,Maquis Ivoire (0466808243),50.8457912,4.3237687
Anderlecht,BE,24/05/17 12:40,,,,True,,19648851.0,43827,,False,fr_FR,BE,24/06/24 16:56,,46,Bergensesteenweg,,145.0,1070,,Mazbouh (0831098077),50.8439426,4.336355
Anderlecht,BE,24/08/26 17:00,,,,True,,40486669709.0,45936,,False,fr_FR,BE,24/08/26 17:00,,11,Rue de Formanoir,,,1070,,Juasam ( 0803375675),50.8356421,4.3079929
Anderlecht,BE,24/07/25 14:25,,,,True,,42372268915.0,45448,,False,fr_FR,BE,24/07/30 22:09,,62,Bergensesteenweg,,145.0,1070,,Bab Al-Hara(0727799314),50.8437423,4.3355121
Anderlecht,BE,24/03/12 14:33,,,,True,,4294451.0,42797,,False,fr_FR,BE,24/06/24 16:56,,19,Avenue Marius Renard,2.0,,1070,,L'atelier Des Saveurs Traiteur(0849022984),50.8253074,4.2788795
Anderlecht,BE,24/07/29 18:09,,,,True,,4846351.0,45484,,False,fr_FR,BE,24/08/02 10:08,Chaussée de Mons 165 1070 Anderlecht,165,Chaussée de Mons,17.0,145.0,1070,,G.S STORE,50.8421098,4.3302063
Anderlecht,BE,24/04/18 16:59,,,,True,,9429551.0,43327,,False,fr_FR,BE,24/06/24 16:56,,42,Rue de Fiennes,,,1070,,NOOR TANDOORI ( 0794760788),50.8389177,4.3324612
